*Airport,Link_Id,Node1_Id,Node1_Longitude,Node1_Latitude,Node1_Altitude,Node1_Type,Node2_Id,Node2_Longitude,Node2_Latitude,Node2_Altitude,Node2_Type,Link_Type
RKSS,G141-RP30,G141,126.7981444,37.558225,0,Gate,RP30,126.7993,37.55905011,0,Ramp,Gate
RKSS,G141-TX19,G141,126.7981444,37.558225,0,Gate,TX19,126.7975192,37.55774522999999,0,Taxiway,Gate
RKSS,G142-RP32,G142,126.7978056,37.55848056,0,Gate,RP32,126.7985874,37.55911689999997,0,Ramp,Gate
RKSS,G142-TX20,G142,126.7978056,37.55848056,0,Gate,TX20,126.7971772,37.55800421999999,0,Taxiway,Gate
RKSS,G201-RP79,G201,126.7933583,37.56328332999998,0,Gate,RP79,126.7925179,37.56380641999998,0,Ramp,Gate
RKSS,G201-RP38,G201,126.7933583,37.56328332999998,0,Gate,RP38,126.7937863,37.56274794000001,0,Ramp,Gate
RKSS,G202-RP78,G202,126.7938,37.56363056000001,0,Gate,RP78,126.7929916,37.56418039999998,0,Ramp,Gate
RKSS,G202-RP39,G202,126.7938,37.56363056000001,0,Gate,RP39,126.7942522,37.56314387999999,0,Ramp,Gate
RKSS,G203-RP77,G203,126.7942417,37.56398332999999,0,Gate,RP77,126.7935305,37.56460201999998,0,Ramp,Gate
RKSS,G203-RP40,G203,126.7942417,37.56398332999999,0,Gate,RP40,126.7947579,37.56350925999997,0,Ramp,Gate
RKSS,G204-RP75,G204,126.7955417,37.56500556,0,Gate,RP75,126.7947448,37.56560962999998,0,Ramp,Gate
RKSS,G204-RP41,G204,126.7955417,37.56500556,0,Gate,RP41,126.7961372,37.56463551999999,0,Ramp,Gate
RKSS,G205-RP73,G205,126.7962167,37.56546667000001,0,Gate,RP73,126.7953805555556,37.566125,0,Ramp,Gate
RKSS,G205-RP42,G205,126.7962167,37.56546667000001,0,Gate,RP42,126.7967017,37.56509153999999,0,Ramp,Gate
RKSS,G206-RP71,G206,126.7966833,37.56594444000002,0,Gate,RP71,126.7959844,37.56658909,0,Ramp,Gate
RKSS,G206-RP43,G206,126.7966833,37.56594444000002,0,Gate,RP43,126.7972034,37.56551,0,Ramp,Gate
RKSS,G211-RP67,G211,126.7990861,37.56784722000002,0,Gate,RP67,126.7983286,37.56843196,0,Ramp,Gate
RKSS,G211-RP46,G211,126.7990861,37.56784722000002,0,Gate,RP46,126.7996115,37.5673784,0,Ramp,Gate
RKSS,G212-RP65,G212,126.7994306,37.56812500000002,0,Gate,RP65,126.7986886,37.56872195000001,0,Ramp,Gate
RKSS,G212-RP48,G212,126.7994306,37.56812500000002,0,Gate,RP48,126.7999567,37.56764520000002,0,Ramp,Gate
RKSS,G213-RP63,G213,126.799775,37.56839722000001,0,Gate,RP63,126.7990209,37.56899966000001,0,Ramp,Gate
RKSS,G213-RP49,G213,126.799775,37.56839722000001,0,Gate,RP49,126.8003258,37.56793881000001,0,Ramp,Gate
RKSS,G214-RP62,G214,126.8001194,37.56866944000003,0,Gate,RP62,126.79935,37.56926388888889,0,Ramp,Gate
RKSS,G214-RP51,G214,126.8001194,37.56866944000003,0,Gate,RP51,126.8006771,37.56822754,0,Ramp,Gate
RKSS,G221-RP79,G221,126.7916861,37.56441389,0,Gate,RP79,126.7925179,37.56380641999998,0,Ramp,Gate
RKSS,G222-RP78,G222,126.7921139,37.56488056000001,0,Gate,RP78,126.7929916,37.56418039999998,0,Ramp,Gate
RKSS,G223-RP77,G223,126.7927306,37.56531111000002,0,Gate,RP77,126.7935305,37.56460201999998,0,Ramp,Gate
RKSS,G224-RP76,G224,126.7933083,37.56576667000002,0,Gate,RP76,126.7941379,37.56508738000001,0,Ramp,Gate
RKSS,G227-RP75,G227,126.7938222,37.56620556,0,Gate,RP75,126.7947448,37.56560962999998,0,Ramp,Gate
RKSS,G228-RP74,G228,126.7942056,37.56648056000002,0,Gate,RP74,126.7950141,37.56582836,0,Ramp,Gate
RKSS,G229-RP73,G229,126.7945194,37.56675833000001,0,Gate,RP73,126.7953805555556,37.566125,0,Ramp,Gate
RKSS,G230-RP72,G230,126.7948667,37.56703611000002,0,Gate,RP72,126.7956878,37.56637136000001,0,Ramp,Gate
RKSS,G231-RP71,G231,126.7952139,37.56731389000002,0,Gate,RP71,126.7959844,37.56658909,0,Ramp,Gate
RKSS,G232-RP70,G232,126.7959444,37.56789444000001,0,Gate,RP70,126.7967774,37.56720698000001,0,Ramp,Gate
RKSS,G233-RP69,G233,126.7962944,37.56817222000002,0,Gate,RP69,126.7971019,37.56747647,0,Ramp,Gate
RKSS,G234-RP68,G234,126.7968583,37.56858055999999,0,Gate,RP68,126.7976382,37.56792496000002,0,Ramp,Gate
RKSS,G235-RP66,G235,126.7976444,37.56920555999998,0,Gate,RP66,126.7984963,37.56856703999999,0,Ramp,Gate
RKSS,G236-RP63,G236,126.7982056,37.56964999999998,0,Gate,RP63,126.7990209,37.56899966000001,0,Ramp,Gate
RKSS,G237-RP60,G237,126.7989361,37.57024167000002,0,Gate,RP60,126.7995305555555,37.56979722222223,0,Ramp,Gate
RKSS,G301-RP59,G301,126.8002944,37.57114444000001,0,Gate,RP59,126.7996646,37.57066062999999,0,Ramp,Gate
RKSS,G302-RP58,G302,126.8005972,37.57090278,0,Gate,RP58,126.7999583,37.57039365,0,Ramp,Gate
RKSS,G303-RP57,G303,126.8009528,37.57061666999999,0,Gate,RP57,126.8002101,37.57005131000001,0,Ramp,Gate
